Frame,R,G,B,WW,CW
1,0,143,140,65,0
2,0,147,145,66,0
3,0,150,150,66,0
4,0,154,155,67,0
5,0,158,159,67,0
6,0,161,164,68,0
7,0,164,169,68,0
8,0,167,174,69,0
9,0,170,179,69,0
10,0,173,183,69,0
11,0,175,188,69,0
12,0,178,192,69,0
13,0,180,196,69,0
14,0,182,200,69,0
15,0,184,204,69,0
16,0,185,208,69,0
17,0,186,212,69,0
18,0,187,215,68,0
19,0,188,218,68,0
20,0,189,221,67,0
21,0,189,224,67,0
22,0,189,227,66,0
23,0,189,229,65,0
24,0,189,231,65,0
25,0,189,233,64,0
26,0,188,235,63,0
27,0,187,236,62,0
28,0,186,237,61,0
29,0,184,238,60,0
30,0,183,239,58,0
31,0,181,239,57,0
32,0,179,239,56,0
33,0,177,239,55,0
34,0,174,239,53,0
35,0,172,239,52,0
36,0,169,238,51,0
37,0,166,237,49,0
38,0,163,235,48,0
39,0,160,234,46,0
40,0,156,232,45,0
41,0,153,230,43,0
42,0,149,228,42,0
43,0,145,225,40,0
44,0,141,223,39,0
45,0,137,220,37,0
46,0,133,217,36,0
47,0,129,213,34,0
48,0,124,210,33,0
49,0,120,206,31,0
50,0,115,202,30,0
51,0,111,198,29,0
52,0,107,194,27,0
53,0,102,190,26,0
54,0,97,185,25,0
55,0,93,181,23,0
56,0,88,176,22,0
57,0,84,172,21,0
58,0,80,167,20,0
59,0,75,162,19,0
60,0,71,157,17,0
61,0,67,152,16,0
62,0,62,147,16,0
63,0,58,142,15,0
64,0,54,137,14,0
65,0,51,132,13,0
66,0,47,127,12,0
67,0,43,122,12,0
68,0,40,117,11,0
69,0,36,112,11,0
70,0,33,107,10,0
71,0,30,103,10,0
72,0,28,98,10,0
73,0,25,94,10,0
74,0,22,89,10,0
75,0,20,85,10,0
76,0,18,81,10,0
77,0,16,77,10,0
78,0,15,73,10,0
79,0,13,69,10,0
80,0,12,66,10,0
81,0,11,62,11,0
82,0,10,59,11,0
83,0,10,56,12,0
84,0,10,54,13,0
85,0,10,51,13,0
86,0,10,49,14,0
87,0,10,47,15,0
88,0,11,45,16,0
89,0,11,44,17,0
90,0,13,42,18,0
91,0,14,41,19,0
92,0,15,40,20,0
93,0,17,40,21,0
94,0,19,40,22,0
95,0,21,40,24,0
96,0,23,40,25,0
97,0,26,40,26,0
98,0,29,41,28,0
99,0,31,42,29,0
100,0,35,43,30,0
101,0,38,44,32,0
102,0,41,46,33,0
103,0,45,48,35,0
104,0,48,50,36,0
105,0,52,52,38,0
106,0,56,55,39,0
107,0,60,58,41,0
108,0,64,61,42,0
109,0,68,64,44,0
110,0,73,67,45,0
111,0,77,71,47,0
112,0,81,75,48,0
113,0,86,79,50,0
114,0,90,83,51,0
115,0,95,87,52,0
116,0,99,91,54,0
117,0,104,96,55,0
118,0,108,100,56,0
119,0,113,105,58,0
120,0,117,110,59,0
121,0,122,115,60,0
122,0,126,120,61,0
123,0,130,124,62,0
124,0,135,129,63,0
125,0,139,134,64,0
