Frame,R,G,B,WW,CW
1,120,78,14,0,0
2,126,76,14,0,0
3,133,73,14,0,0
4,139,70,14,0,0
5,144,66,14,0,0
6,149,62,14,0,0
7,153,58,14,0,0
8,156,54,14,0,0
9,158,51,14,0,0
10,159,47,13,0,0
11,159,44,13,0,0
12,158,42,12,0,0
13,156,40,12,0,0
14,153,40,11,0,0
15,148,40,10,0,0
16,143,40,9,0,0
17,138,42,9,0,0
18,132,44,8,0,0
19,125,47,7,0,0
20,118,50,7,0,0
21,112,54,6,0,0
22,105,58,6,0,0
23,99,62,5,0,0
24,94,66,5,0,0
25,89,69,5,0,0
26,85,73,5,0,0
27,82,75,5,0,0
28,80,77,5,0,0
29,80,79,5,0,0
30,80,79,5,0,0
31,81,79,5,0,0
32,84,78,6,0,0
33,87,77,6,0,0
34,91,74,7,0,0
35,96,71,7,0,0
36,102,68,8,0,0
37,108,64,9,0,0
38,115,60,10,0,0
39,122,56,10,0,0
40,128,52,11,0,0
41,134,49,12,0,0
42,140,46,12,0,0
43,146,43,13,0,0
44,150,41,13,0,0
45,154,40,14,0,0
46,157,40,14,0,0
47,159,40,14,0,0
48,159,41,14,0,0
49,159,43,14,0,0
50,158,46,14,0,0
51,155,49,14,0,0
52,151,52,14,0,0
53,147,56,14,0,0
54,142,60,13,0,0
55,136,64,13,0,0
56,130,68,12,0,0
57,123,71,12,0,0
58,116,74,11,0,0
59,110,77,10,0,0
60,104,78,9,0,0
61,98,79,9,0,0
62,92,79,8,0,0
63,88,79,7,0,0
64,84,77,7,0,0
65,82,75,6,0,0
66,80,73,6,0,0
67,80,69,5,0,0
68,80,66,5,0,0
69,82,62,5,0,0
70,84,58,5,0,0
71,88,54,5,0,0
72,93,50,5,0,0
73,98,47,5,0,0
74,104,44,5,0,0
75,110,42,5,0,0
76,117,40,6,0,0
77,124,40,6,0,0
78,130,40,7,0,0
79,136,41,7,0,0
80,142,42,8,0,0
81,147,44,9,0,0
82,152,47,10,0,0
83,155,51,10,0,0
84,158,55,11,0,0
85,159,59,12,0,0
86,159,62,12,0,0
87,159,66,13,0,0
88,157,70,13,0,0
89,154,73,14,0,0
90,150,76,14,0,0
91,146,78,14,0,0
92,140,79,14,0,0
93,134,79,14,0,0
94,128,79,14,0,0
95,121,78,14,0,0
96,114,76,14,0,0
97,108,74,14,0,0
98,102,71,13,0,0
99,96,67,13,0,0
100,91,63,12,0,0
101,87,59,12,0,0
102,83,55,11,0,0
103,81,52,10,0,0
104,80,48,9,0,0
105,80,45,9,0,0
106,80,43,8,0,0
107,82,41,7,0,0
108,85,40,7,0,0
109,89,40,6,0,0
110,94,40,6,0,0
111,100,41,5,0,0
112,106,43,5,0,0
113,112,46,5,0,0
114,119,49,5,0,0
115,125,53,5,0,0
116,132,57,5,0,0
117,138,61,5,0,0
118,144,65,5,0,0
119,149,69,5,0,0
120,153,72,6,0,0
121,156,75,6,0,0
122,158,77,7,0,0
123,159,79,7,0,0
124,159,79,8,0,0
125,158,79,9,0,0
