Frame,R,G,B,WW,CW
1,97,0,0,49,0
2,72,0,0,31,0
3,68,0,0,32,0
4,69,0,0,42,0
5,71,0,0,58,0
6,65,0,0,37,0
7,75,0,0,32,0
8,60,0,0,40,0
9,76,0,0,52,0
10,61,0,0,30,0
11,72,0,0,39,0
12,67,0,0,48,0
13,66,0,0,52,0
14,85,0,0,36,0
15,80,0,0,32,0
16,97,0,0,37,0
17,78,0,0,37,0
18,80,0,0,46,0
19,71,0,0,52,0
20,88,0,0,45,0
21,89,0,0,35,0
22,74,0,0,47,0
23,64,0,0,40,0
24,83,0,0,50,0
25,83,0,0,52,0
26,90,0,0,46,0
27,92,0,0,52,0
28,82,0,0,35,0
29,73,0,0,43,0
30,69,0,0,47,0
31,67,0,0,48,0
32,82,0,0,31,0
33,61,0,0,51,0
34,60,0,0,50,0
35,77,0,0,40,0
36,68,0,0,30,0
37,84,0,0,53,0
38,73,0,0,59,0
39,68,0,0,54,0
40,90,0,0,55,0
41,67,0,0,51,0
42,63,0,0,37,0
43,66,0,0,30,0
44,81,0,0,55,0
45,63,0,0,49,0
46,64,0,0,55,0
47,84,0,0,47,0
48,72,0,0,44,0
49,86,0,0,43,0
50,76,0,0,50,0
51,78,0,0,50,0
52,75,0,0,41,0
53,60,0,0,36,0
54,64,0,0,43,0
55,85,0,0,54,0
56,94,0,0,57,0
57,83,0,0,45,0
58,67,0,0,54,0
59,86,0,0,57,0
60,85,0,0,39,0
61,82,0,0,32,0
62,69,0,0,37,0
63,63,0,0,51,0
64,99,0,0,35,0
65,83,0,0,34,0
66,96,0,0,35,0
67,87,0,0,54,0
68,97,0,0,51,0
69,79,0,0,38,0
70,98,0,0,43,0
71,68,0,0,57,0
72,92,0,0,47,0
73,94,0,0,47,0
74,70,0,0,45,0
75,83,0,0,43,0
76,75,0,0,38,0
77,83,0,0,44,0
78,85,0,0,43,0
79,67,0,0,53,0
80,88,0,0,46,0
81,70,0,0,58,0
82,92,0,0,40,0
83,84,0,0,43,0
84,83,0,0,33,0
85,61,0,0,50,0
86,73,0,0,32,0
87,63,0,0,44,0
88,60,0,0,44,0
89,73,0,0,30,0
90,66,0,0,59,0
91,81,0,0,41,0
92,66,0,0,33,0
93,62,0,0,51,0
94,72,0,0,59,0
95,87,0,0,31,0
96,81,0,0,32,0
97,71,0,0,50,0
98,67,0,0,49,0
99,73,0,0,46,0
100,68,0,0,52,0
101,71,0,0,30,0
102,72,0,0,59,0
103,80,0,0,58,0
104,90,0,0,53,0
105,96,0,0,48,0
106,99,0,0,58,0
107,67,0,0,40,0
108,64,0,0,38,0
109,78,0,0,43,0
110,92,0,0,33,0
111,73,0,0,30,0
112,70,0,0,38,0
113,83,0,0,50,0
114,77,0,0,43,0
115,67,0,0,48,0
116,84,0,0,45,0
117,70,0,0,39,0
118,88,0,0,30,0
119,80,0,0,42,0
120,92,0,0,49,0
121,72,0,0,54,0
122,61,0,0,47,0
123,90,0,0,40,0
124,84,0,0,50,0
125,78,0,0,42,0
