FPS,DURATION,FRAMEFORMAT,,,,,
30,1, Frame No.,R,G,B,WW,CW
1,100,0,0,0,0,,
2,100,0,0,0,0,,
3,0,0,0,0,0,,
4,0,0,100,0,0,,
5,0,0,100,0,0,,
6,0,0,0,0,0,,
7,100,100,100,0,0,,
8,100,100,100,0,0,,
9,100,100,100,0,0,,
10,0,0,0,0,0,,
11,100,0,0,0,0,,
12,100,0,0,0,0,,
13,0,0,0,0,0,,
14,0,0,100,0,0,,
15,0,0,100,0,0,,
16,0,0,0,0,0,,
17,100,100,100,0,0,,
18,100,100,100,0,0,,
19,100,100,100,0,0,,
20,0,0,0,0,0,,
21,100,0,0,0,0,,
22,100,0,0,0,0,,
23,0,0,0,0,0,,
24,0,0,100,0,0,,
25,0,0,100,0,0,,
26,0,0,0,0,0,,
27,100,100,100,0,0,,
28,100,100,100,0,0,,
29,100,100,100,0,0,,
30,0,0,0,0,0,,
