Frame,R,G,B,WW,CW
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,255,0,255,0,0
29,255,0,255,0,0
30,255,0,255,0,0
31,255,0,255,0,0
32,255,0,255,0,0
33,255,0,255,0,0
34,255,0,255,0,0
35,255,0,255,0,0
36,255,0,255,0,0
37,255,0,255,0,0
38,255,0,255,0,0
39,255,0,255,0,0
40,255,0,255,0,0
41,0,255,0,0,0
42,0,255,0,0,0
43,0,255,0,0,0
44,0,255,0,0,0
45,0,255,0,0,0
46,0,255,0,0,0
47,0,255,0,0,0
48,0,255,0,0,0
49,0,255,0,0,0
50,0,255,0,0,0
51,0,255,0,0,0
52,0,255,0,0,0
53,0,255,0,0,0
54,0,255,0,0,0
55,0,255,0,0,0
56,0,255,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,255,0,255,0,0
73,255,0,255,0,0
74,255,0,255,0,0
75,255,0,255,0,0
76,255,0,255,0,0
77,255,0,255,0,0
78,255,0,255,0,0
79,255,0,255,0,0
80,255,0,255,0,0
81,255,0,255,0,0
82,150,181,159,0,0
83,150,181,159,0,0
84,150,181,159,0,0
85,150,181,159,0,0
86,150,181,159,0,0
87,150,181,159,0,0
88,150,181,159,0,0
89,150,181,159,0,0
90,150,181,159,0,0
91,254,213,160,0,0
92,254,213,160,0,0
93,254,213,160,0,0
94,254,213,160,0,0
95,254,213,160,0,0
96,254,213,160,0,0
97,254,213,160,0,0
98,254,213,160,0,0
99,254,213,160,0,0
100,254,213,160,0,0
101,254,213,160,0,0
102,254,213,160,0,0
103,254,213,160,0,0
104,254,213,160,0,0
105,254,213,160,0,0
106,254,213,160,0,0
107,225,227,231,0,0
108,225,227,231,0,0
109,225,227,231,0,0
110,225,227,231,0,0
111,225,227,231,0,0
112,225,227,231,0,0
113,225,227,231,0,0
114,225,227,231,0,0
115,225,227,231,0,0
116,225,227,231,0,0
117,225,227,231,0,0
118,225,227,231,0,0
119,225,227,231,0,0
120,225,227,231,0,0
121,225,227,231,0,0
122,225,227,231,0,0
123,225,227,231,0,0
124,225,227,231,0,0
125,255,0,255,0,0
126,255,0,255,0,0
127,255,0,255,0,0
128,255,0,255,0,0
129,255,0,255,0,0
130,255,0,255,0,0
131,255,0,255,0,0
132,255,0,255,0,0
133,255,0,255,0,0
134,255,0,255,0,0
135,228,242,210,0,0
136,228,242,210,0,0
137,228,242,210,0,0
138,228,242,210,0,0
139,228,242,210,0,0
140,228,242,210,0,0
141,228,242,210,0,0
142,228,242,210,0,0
143,228,242,210,0,0
144,228,242,210,0,0
145,228,242,210,0,0
146,228,242,210,0,0
147,228,242,210,0,0
148,228,242,210,0,0
149,228,242,210,0,0
150,228,242,210,0,0
151,228,242,210,0,0
152,228,242,210,0,0
153,0,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,255,0,255,0,0
168,255,0,255,0,0
169,255,0,255,0,0
170,255,0,255,0,0
171,255,0,255,0,0
172,255,0,255,0,0
173,198,185,182,0,0
174,198,185,182,0,0
175,198,185,182,0,0
176,198,185,182,0,0
177,198,185,182,0,0
178,198,185,182,0,0
179,198,185,182,0,0
180,198,185,182,0,0
181,198,185,182,0,0
182,198,185,182,0,0
183,198,185,182,0,0
184,198,185,182,0,0
185,198,185,182,0,0
186,198,185,182,0,0
187,198,185,182,0,0
188,198,185,182,0,0
189,198,185,182,0,0
190,255,0,0,0,0
191,255,0,0,0,0
192,255,0,0,0,0
193,255,0,0,0,0
194,255,0,0,0,0
195,255,0,0,0,0
196,255,0,0,0,0
197,255,0,0,0,0
198,255,0,0,0,0
199,255,0,0,0,0
200,255,0,0,0,0
201,255,0,0,0,0
202,0,0,255,0,0
203,0,0,255,0,0
204,0,0,255,0,0
205,0,0,255,0,0
206,0,0,255,0,0
207,0,0,255,0,0
208,0,0,255,0,0
209,0,0,255,0,0
210,0,255,0,0,0
211,0,255,0,0,0
212,0,255,0,0,0
213,0,255,0,0,0
214,0,255,0,0,0
215,0,255,0,0,0
216,0,255,0,0,0
217,0,255,0,0,0
218,0,255,0,0,0
219,0,255,0,0,0
220,0,255,0,0,0
221,0,255,0,0,0
222,0,255,0,0,0
223,0,255,0,0,0
224,0,255,0,0,0
225,0,255,0,0,0
226,0,255,0,0,0
227,0,255,0,0,0
228,205,183,230,0,0
229,205,183,230,0,0
230,205,183,230,0,0
231,205,183,230,0,0
232,205,183,230,0,0
233,205,183,230,0,0
234,205,183,230,0,0
235,205,183,230,0,0
236,205,183,230,0,0
237,205,183,230,0,0
238,205,183,230,0,0
239,205,183,230,0,0
240,205,183,230,0,0
241,205,183,230,0,0
242,205,183,230,0,0
243,205,183,230,0,0
244,205,183,230,0,0
245,255,255,0,0,0
246,255,255,0,0,0
247,255,255,0,0,0
248,255,255,0,0,0
249,255,255,0,0,0
250,255,255,0,0,0
251,255,255,0,0,0
252,255,255,0,0,0
253,255,255,0,0,0
254,0,0,0,0,0
255,0,0,0,0,0
256,0,0,0,0,0
257,0,0,0,0,0
258,0,0,0,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,0,0,0,0,0
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,240,198,177,0,0
277,240,198,177,0,0
278,240,198,177,0,0
279,240,198,177,0,0
280,240,198,177,0,0
281,240,198,177,0,0
282,240,198,177,0,0
283,240,198,177,0,0
284,240,198,177,0,0
285,240,198,177,0,0
286,255,255,255,0,0
287,255,255,255,0,0
288,255,255,255,0,0
289,255,255,255,0,0
290,255,255,255,0,0
291,255,255,255,0,0
292,255,255,255,0,0
293,255,255,255,0,0
294,255,255,255,0,0
295,255,255,255,0,0
296,255,255,255,0,0
297,255,255,255,0,0
298,255,255,255,0,0
299,255,255,255,0,0
300,255,255,255,0,0
301,255,255,255,0,0
302,179,192,184,0,0
303,179,192,184,0,0
304,179,192,184,0,0
305,179,192,184,0,0
306,179,192,184,0,0
307,179,192,184,0,0
308,179,192,184,0,0
309,179,192,184,0,0
310,179,192,184,0,0
311,179,192,184,0,0
312,179,192,184,0,0
313,179,192,184,0,0
314,179,192,184,0,0
315,179,192,184,0,0
316,179,192,184,0,0
317,179,192,184,0,0
318,179,192,184,0,0
319,179,192,184,0,0
320,179,192,184,0,0
321,0,0,255,0,0
322,0,0,255,0,0
323,0,0,255,0,0
324,0,0,255,0,0
325,0,0,255,0,0
326,0,0,255,0,0
327,0,0,255,0,0
328,0,255,0,0,0
329,0,255,0,0,0
330,0,255,0,0,0
331,0,255,0,0,0
332,0,255,0,0,0
333,0,255,0,0,0
334,0,255,0,0,0
335,0,255,0,0,0
336,0,255,0,0,0
337,0,255,0,0,0
338,0,255,0,0,0
339,0,255,0,0,0
340,0,255,0,0,0
341,0,255,0,0,0
342,0,255,0,0,0
343,0,255,0,0,0
344,0,255,0,0,0
345,0,255,0,0,0
346,0,255,0,0,0
347,0,255,0,0,0
348,0,255,0,0,0
349,0,255,0,0,0
350,0,255,0,0,0
351,0,255,0,0,0
352,0,255,0,0,0
353,0,255,0,0,0
354,0,255,0,0,0
355,0,255,0,0,0
356,0,255,0,0,0
357,0,255,0,0,0
358,0,255,0,0,0
359,0,255,255,0,0
360,0,255,255,0,0
361,0,255,255,0,0
362,0,255,255,0,0
363,0,255,255,0,0
364,0,255,255,0,0
365,0,255,255,0,0
366,0,255,255,0,0
367,0,255,255,0,0
368,0,255,255,0,0
369,0,255,255,0,0
370,0,255,255,0,0
371,0,255,255,0,0
372,0,255,255,0,0
373,0,255,255,0,0
374,0,255,255,0,0
375,0,255,255,0,0
376,0,255,255,0,0
377,0,255,255,0,0
378,0,255,255,0,0
379,0,255,255,0,0
380,0,255,255,0,0
381,0,255,255,0,0
382,0,255,255,0,0
383,0,255,255,0,0
384,0,255,255,0,0
385,0,255,255,0,0
386,0,255,255,0,0
387,0,255,255,0,0
388,0,255,255,0,0
389,0,255,255,0,0
390,0,255,255,0,0
391,0,255,255,0,0
392,0,255,255,0,0
393,0,255,255,0,0
394,255,255,255,0,0
395,255,255,255,0,0
396,255,255,255,0,0
397,255,255,255,0,0
398,255,255,255,0,0
399,255,255,255,0,0
400,255,255,255,0,0
401,255,255,255,0,0
402,255,255,255,0,0
403,0,0,255,0,0
404,0,0,255,0,0
405,0,0,255,0,0
406,0,0,255,0,0
407,0,0,255,0,0
408,0,0,255,0,0
409,0,0,255,0,0
410,0,0,255,0,0
411,0,0,255,0,0
412,0,0,255,0,0
413,0,0,255,0,0
414,0,0,255,0,0
415,0,0,255,0,0
416,0,0,255,0,0
417,0,0,255,0,0
418,0,0,255,0,0
419,0,0,255,0,0
420,0,0,255,0,0
421,0,0,255,0,0
422,0,0,255,0,0
423,0,0,255,0,0
424,0,0,255,0,0
425,0,0,255,0,0
426,255,0,255,0,0
427,255,0,255,0,0
428,255,0,255,0,0
429,255,0,255,0,0
430,255,0,255,0,0
431,255,0,255,0,0
432,255,0,255,0,0
433,255,0,255,0,0
434,255,0,255,0,0
435,255,0,255,0,0
436,255,0,255,0,0
437,255,0,255,0,0
438,255,0,255,0,0
439,255,0,255,0,0
440,255,0,255,0,0
441,255,0,255,0,0
442,255,0,255,0,0
443,255,0,255,0,0
444,255,0,255,0,0
445,0,255,0,0,0
446,0,255,0,0,0
447,0,255,0,0,0
448,0,255,0,0,0
449,0,255,0,0,0
450,255,255,255,0,0
451,255,255,255,0,0
452,255,255,255,0,0
453,255,255,255,0,0
454,255,255,255,0,0
455,255,255,255,0,0
456,255,255,255,0,0
457,255,255,255,0,0
458,255,255,255,0,0
459,255,255,255,0,0
460,255,255,255,0,0
461,255,255,255,0,0
462,255,255,255,0,0
463,255,255,255,0,0
464,255,255,255,0,0
465,255,255,255,0,0
466,255,255,255,0,0
467,255,255,255,0,0
468,255,255,255,0,0
469,0,0,0,0,0
470,0,0,0,0,0
471,0,0,0,0,0
472,0,0,0,0,0
473,0,0,0,0,0
474,0,0,0,0,0
475,0,0,0,0,0
476,0,0,0,0,0
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,0
480,0,0,0,0,0
481,0,0,0,0,0
482,0,0,0,0,0
483,0,0,0,0,0
484,0,0,0,0,0
485,255,0,0,0,0
486,255,0,0,0,0
487,255,0,0,0,0
488,255,0,0,0,0
489,255,0,0,0,0
490,255,0,0,0,0
491,255,0,0,0,0
492,255,0,0,0,0
493,255,0,0,0,0
494,255,0,0,0,0
495,255,0,0,0,0
496,255,0,0,0,0
497,255,0,0,0,0
498,255,0,0,0,0
499,255,0,0,0,0
500,255,0,0,0,0
501,255,0,0,0,0
502,255,0,0,0,0
503,255,0,0,0,0
504,0,255,0,0,0
505,0,255,0,0,0
506,0,255,0,0,0
507,0,255,0,0,0
508,0,255,0,0,0
509,0,255,0,0,0
510,0,255,0,0,0
511,0,255,0,0,0
512,0,255,0,0,0
513,0,255,0,0,0
514,0,255,0,0,0
515,0,255,0,0,0
516,0,255,0,0,0
517,0,255,0,0,0
518,0,255,0,0,0
519,0,255,0,0,0
520,0,255,0,0,0
521,0,255,0,0,0
522,0,255,0,0,0
523,0,255,0,0,0
524,0,255,0,0,0
525,0,255,0,0,0
526,0,255,0,0,0
527,255,0,0,0,0
528,255,0,0,0,0
529,255,0,0,0,0
530,255,0,0,0,0
531,255,0,0,0,0
532,255,0,0,0,0
533,255,0,0,0,0
534,255,0,0,0,0
535,255,0,0,0,0
536,255,0,0,0,0
537,255,0,0,0,0
538,255,0,0,0,0
539,255,0,0,0,0
540,255,0,0,0,0
541,255,0,0,0,0
542,255,0,0,0,0
543,255,255,255,0,0
544,255,255,255,0,0
545,255,255,255,0,0
546,255,255,255,0,0
547,255,255,255,0,0
548,255,255,255,0,0
549,255,255,255,0,0
550,255,255,255,0,0
551,255,255,255,0,0
552,255,255,255,0,0
553,255,255,255,0,0
554,255,255,255,0,0
555,255,255,255,0,0
556,255,255,255,0,0
557,255,255,255,0,0
558,255,255,255,0,0
559,255,255,255,0,0
560,255,255,255,0,0
561,255,255,0,0,0
562,255,255,0,0,0
563,255,255,0,0,0
564,255,255,0,0,0
565,255,255,0,0,0
566,255,255,0,0,0
567,255,255,0,0,0
568,255,255,0,0,0
569,255,255,0,0,0
570,255,255,0,0,0
571,255,255,0,0,0
572,255,255,0,0,0
573,255,255,0,0,0
574,255,255,0,0,0
575,255,255,0,0,0
576,255,255,0,0,0
577,255,255,0,0,0
578,255,255,0,0,0
579,255,255,0,0,0
580,255,255,0,0,0
581,255,255,0,0,0
582,0,0,255,0,0
583,0,0,255,0,0
584,0,0,255,0,0
585,0,0,255,0,0
586,0,0,255,0,0
587,0,0,255,0,0
588,0,0,255,0,0
589,0,0,255,0,0
590,0,0,255,0,0
591,0,0,255,0,0
592,0,0,255,0,0
593,0,0,255,0,0
594,0,0,255,0,0
595,0,0,255,0,0
596,0,0,255,0,0
597,0,0,255,0,0
598,0,0,255,0,0
599,0,0,255,0,0
600,0,0,255,0,0
601,0,0,255,0,0
602,0,0,255,0,0
603,0,255,0,0,0
604,0,255,0,0,0
605,0,255,0,0,0
606,0,255,0,0,0
607,0,255,0,0,0
608,0,255,0,0,0
609,0,255,0,0,0
