FPS,DURATION,FRAMEFORMAT,,,,,
30,3, Frame No.,R,G,B,WW,CW
1,85,30,10,0,0,,
2,85,30,10,0,0,,
3,85,30,10,0,0,,
4,86,31,11,0,0,,
5,86,31,11,0,0,,
6,86,31,11,0,0,,
7,86,31,11,0,0,,
8,86,32,12,0,0,,
9,86,32,12,0,0,,
10,87,32,12,0,0,,
11,85,33,16,0,0,,
12,81,33,22,0,0,,
13,87,33,13,0,0,,
14,87,33,13,0,0,,
15,87,33,13,0,0,,
16,88,33,13,0,0,,
17,88,34,14,0,0,,
18,88,34,14,0,0,,
19,88,34,14,0,0,,
20,88,34,14,0,0,,
21,88,34,14,0,0,,
22,89,35,15,0,0,,
23,89,35,15,0,0,,
24,89,35,15,0,0,,
25,89,35,15,0,0,,
26,89,36,16,0,0,,
27,89,36,16,0,0,,
28,90,36,16,0,0,,
29,90,36,16,0,0,,
30,90,36,16,0,0,,
31,94,33,16,0,0,,
32,91,36,17,0,0,,
33,84,43,20,0,0,,
34,85,43,20,0,0,,
35,91,38,18,0,0,,
36,91,38,18,0,0,,
37,91,38,18,0,0,,
38,91,38,18,0,0,,
39,91,39,19,0,0,,
40,92,39,19,0,0,,
41,92,39,19,0,0,,
42,92,39,19,0,0,,
43,92,39,19,0,0,,
44,95,31,22,0,0,,
45,94,35,21,0,0,,
46,93,40,20,0,0,,
47,93,40,20,0,0,,
48,92,40,20,0,0,,
49,81,35,13,0,0,,
50,90,39,19,0,0,,
51,93,41,21,0,0,,
52,94,41,21,0,0,,
53,92,39,23,0,0,,
54,86,33,26,0,0,,
55,93,41,23,0,0,,
56,94,42,22,0,0,,
57,95,36,30,0,0,,
58,95,36,31,0,0,,
59,95,43,23,0,0,,
60,95,43,23,0,0,,
61,95,43,23,0,0,,
62,95,44,24,0,0,,
63,95,44,24,0,0,,
64,96,44,24,0,0,,
65,96,44,24,0,0,,
66,96,45,24,0,0,,
67,99,51,12,0,0,,
68,100,51,19,0,0,,
69,98,48,24,0,0,,
70,97,46,26,0,0,,
71,97,46,26,0,0,,
72,97,46,26,0,0,,
73,97,46,26,0,0,,
74,99,46,21,0,0,,
75,99,46,23,0,0,,
76,98,47,27,0,0,,
77,98,47,27,0,0,,
78,98,47,27,0,0,,
79,98,41,23,0,0,,
80,91,43,34,0,0,,
81,93,46,34,0,0,,
82,99,52,27,0,0,,
83,100,58,26,0,0,,
84,99,49,29,0,0,,
85,89,47,38,0,0,,
86,95,48,33,0,0,,
87,99,49,29,0,0,,
88,100,49,28,0,0,,
89,100,48,25,0,0,,
90,100,50,30,0,0,,
