Frame,R,G,B,WW,CW
1,102,103,167,0,0
2,152,105,113,0,0
3,174,100,176,0,0
4,215,242,215,0,0
5,118,150,106,0,0
6,70,72,67,0,0
7,55,65,73,0,0
8,41,77,51,0,0
9,175,153,147,0,0
10,46,43,42,0,0
11,154,155,120,0,0
12,72,58,46,0,0
13,153,158,100,0,0
14,56,43,63,0,0
15,73,44,65,0,0
16,109,159,127,0,0
17,44,75,47,0,0
18,136,146,110,0,0
19,252,206,252,0,0
20,44,65,55,0,0
21,57,66,44,0,0
22,143,164,168,0,0
23,42,66,50,0,0
24,50,56,57,0,0
25,130,117,170,0,0
26,133,144,145,0,0
27,206,220,252,0,0
28,59,54,70,0,0
29,41,55,62,0,0
30,57,65,69,0,0
31,147,159,108,0,0
32,41,76,53,0,0
33,57,76,50,0,0
34,162,136,151,0,0
35,66,44,70,0,0
36,127,166,176,0,0
37,69,63,73,0,0
38,145,117,117,0,0
39,204,218,233,0,0
40,48,73,64,0,0
41,132,117,132,0,0
42,53,71,40,0,0
43,135,131,134,0,0
44,44,47,53,0,0
45,206,231,235,0,0
46,73,48,46,0,0
47,103,164,153,0,0
48,123,111,105,0,0
49,126,107,175,0,0
50,148,134,129,0,0
51,60,43,68,0,0
52,221,197,236,0,0
53,149,105,149,0,0
54,154,163,164,0,0
55,177,143,168,0,0
56,49,69,72,0,0
57,74,76,58,0,0
58,157,163,142,0,0
59,50,66,78,0,0
60,156,173,103,0,0
61,152,118,130,0,0
62,59,52,63,0,0
63,164,162,131,0,0
64,78,79,50,0,0
65,57,50,70,0,0
66,115,161,109,0,0
67,176,108,130,0,0
68,49,75,40,0,0
69,179,110,116,0,0
70,43,65,51,0,0
71,77,72,74,0,0
72,51,79,72,0,0
73,68,75,67,0,0
74,120,143,154,0,0
75,44,78,53,0,0
76,60,75,72,0,0
77,41,70,57,0,0
78,45,49,56,0,0
79,205,211,241,0,0
80,109,117,104,0,0
81,104,128,136,0,0
82,78,69,73,0,0
83,150,172,108,0,0
84,59,51,61,0,0
85,105,107,157,0,0
86,42,58,63,0,0
87,49,62,51,0,0
88,78,43,62,0,0
89,164,106,128,0,0
90,214,188,180,0,0
91,65,79,53,0,0
92,168,177,177,0,0
93,44,45,71,0,0
94,79,63,49,0,0
95,143,130,116,0,0
96,155,129,107,0,0
97,242,254,237,0,0
98,162,129,150,0,0
99,59,68,46,0,0
100,53,73,45,0,0
101,181,226,229,0,0
102,72,58,75,0,0
103,72,59,57,0,0
104,116,116,153,0,0
105,48,45,44,0,0
106,43,57,50,0,0
107,237,197,241,0,0
108,115,176,120,0,0
109,45,78,71,0,0
110,79,46,45,0,0
111,130,164,151,0,0
112,185,250,246,0,0
113,129,155,126,0,0
114,42,76,76,0,0
115,45,70,62,0,0
116,69,75,55,0,0
117,76,40,66,0,0
118,75,78,44,0,0
119,172,153,171,0,0
120,159,109,151,0,0
121,170,167,141,0,0
122,174,127,158,0,0
123,54,78,48,0,0
124,49,62,42,0,0
125,139,176,153,0,0
126,146,160,126,0,0
127,111,166,145,0,0
128,212,252,180,0,0
129,53,71,41,0,0
130,105,141,177,0,0
131,77,62,79,0,0
132,54,76,70,0,0
133,179,125,118,0,0
134,134,162,114,0,0
135,159,119,122,0,0
136,178,151,137,0,0
137,140,128,148,0,0
138,106,137,127,0,0
139,233,185,239,0,0
140,149,172,175,0,0
141,68,48,46,0,0
142,137,131,152,0,0
143,138,111,136,0,0
144,56,70,43,0,0
145,61,41,55,0,0
146,144,135,118,0,0
147,160,171,157,0,0
148,47,60,68,0,0
149,61,63,49,0,0
150,214,182,201,0,0
151,56,44,52,0,0
152,69,53,63,0,0
153,111,154,146,0,0
154,197,244,242,0,0
155,115,130,126,0,0
156,65,77,41,0,0
157,71,69,64,0,0
158,225,197,238,0,0
159,60,78,62,0,0
160,232,203,244,0,0
161,55,62,62,0,0
162,40,51,65,0,0
163,178,124,112,0,0
164,58,76,75,0,0
165,62,71,54,0,0
166,56,64,77,0,0
167,186,188,206,0,0
168,41,79,58,0,0
169,138,135,140,0,0
170,230,253,217,0,0
171,170,155,102,0,0
172,135,111,132,0,0
173,76,77,47,0,0
174,78,59,65,0,0
175,70,67,50,0,0
176,70,42,71,0,0
177,162,128,121,0,0
178,53,48,50,0,0
179,45,63,79,0,0
180,58,49,64,0,0
181,74,66,56,0,0
182,167,172,163,0,0
183,44,55,62,0,0
184,106,119,116,0,0
185,61,53,60,0,0
186,165,131,156,0,0
187,63,60,56,0,0
188,166,129,103,0,0
189,78,63,78,0,0
190,115,110,160,0,0
191,164,121,131,0,0
192,62,55,47,0,0
193,61,71,63,0,0
194,102,171,105,0,0
195,108,176,136,0,0
196,78,53,71,0,0
197,171,148,177,0,0
198,41,43,73,0,0
199,53,50,61,0,0
200,46,41,67,0,0
201,63,78,77,0,0
202,48,61,43,0,0
203,244,217,217,0,0
204,46,50,40,0,0
205,53,46,76,0,0
206,205,245,180,0,0
207,114,157,118,0,0
208,58,77,66,0,0
209,70,53,62,0,0
210,189,191,231,0,0
211,41,61,79,0,0
212,55,40,44,0,0
213,57,71,46,0,0
214,136,134,141,0,0
215,55,46,59,0,0
216,142,150,159,0,0
217,49,64,69,0,0
218,133,178,176,0,0
219,162,122,116,0,0
220,61,41,45,0,0
221,51,41,51,0,0
222,63,46,54,0,0
223,57,66,56,0,0
224,50,43,60,0,0
225,137,121,166,0,0
226,68,56,49,0,0
227,40,77,55,0,0
228,216,246,236,0,0
229,112,171,111,0,0
230,158,148,110,0,0
231,49,69,61,0,0
232,112,134,127,0,0
233,179,154,176,0,0
234,104,126,163,0,0
235,76,57,70,0,0
236,170,119,160,0,0
237,55,57,61,0,0
238,101,132,157,0,0
239,79,61,72,0,0
240,205,238,204,0,0
241,108,128,177,0,0
242,131,118,153,0,0
243,44,47,69,0,0
244,109,135,121,0,0
245,169,138,132,0,0
246,79,54,45,0,0
247,113,162,131,0,0
248,58,63,45,0,0
249,143,123,142,0,0
250,42,49,49,0,0
251,156,105,160,0,0
252,249,251,253,0,0
253,65,47,51,0,0
254,79,44,44,0,0
255,71,78,67,0,0
256,162,102,134,0,0
257,55,45,52,0,0
258,105,142,160,0,0
259,178,120,131,0,0
260,183,250,199,0,0
261,72,40,68,0,0
262,62,40,69,0,0
263,53,46,60,0,0
264,161,171,177,0,0
265,252,252,219,0,0
266,57,51,69,0,0
267,74,58,43,0,0
268,197,192,210,0,0
269,252,217,225,0,0
270,231,210,225,0,0
271,49,49,43,0,0
272,199,192,208,0,0
273,40,42,73,0,0
274,43,51,73,0,0
275,128,156,174,0,0
276,56,50,60,0,0
277,56,57,75,0,0
278,141,154,130,0,0
279,142,128,152,0,0
280,198,233,246,0,0
281,109,145,148,0,0
282,67,77,58,0,0
283,58,68,60,0,0
284,68,50,43,0,0
285,75,51,63,0,0
286,212,208,238,0,0
287,47,62,46,0,0
288,49,47,77,0,0
289,77,56,53,0,0
290,164,137,132,0,0
291,58,66,50,0,0
292,43,72,68,0,0
293,183,229,248,0,0
294,76,52,74,0,0
295,106,120,148,0,0
296,113,108,144,0,0
297,60,60,59,0,0
298,132,110,126,0,0
299,114,129,108,0,0
300,124,165,104,0,0
301,42,71,59,0,0
302,145,138,149,0,0
303,128,117,135,0,0
304,43,74,47,0,0
305,148,110,115,0,0
306,218,255,239,0,0
307,53,66,50,0,0
308,61,75,44,0,0
309,67,42,69,0,0
310,122,132,160,0,0
311,134,131,116,0,0
312,67,72,65,0,0
313,44,47,71,0,0
314,159,139,109,0,0
315,72,47,77,0,0
316,64,68,43,0,0
317,139,125,161,0,0
318,72,77,77,0,0
319,133,139,122,0,0
320,63,63,77,0,0
321,61,78,62,0,0
322,216,216,234,0,0
323,66,62,70,0,0
324,133,129,120,0,0
325,58,56,44,0,0
326,169,152,150,0,0
327,223,239,198,0,0
328,50,40,68,0,0
329,211,198,194,0,0
330,73,40,41,0,0
331,42,58,69,0,0
332,69,68,60,0,0
333,198,185,226,0,0
334,43,53,78,0,0
335,212,215,220,0,0
336,214,208,238,0,0
337,225,235,246,0,0
338,176,160,119,0,0
339,78,41,78,0,0
340,44,42,73,0,0
341,50,55,66,0,0
342,250,211,234,0,0
343,41,52,76,0,0
344,110,145,177,0,0
345,251,240,238,0,0
346,214,203,182,0,0
347,77,66,78,0,0
348,119,158,123,0,0
349,192,182,252,0,0
350,191,254,206,0,0
351,50,79,62,0,0
352,171,127,135,0,0
353,77,58,56,0,0
354,77,77,68,0,0
355,244,195,189,0,0
356,42,44,46,0,0
357,101,151,147,0,0
358,52,72,54,0,0
359,64,64,75,0,0
360,124,161,113,0,0
361,74,55,47,0,0
362,41,64,72,0,0
363,224,194,251,0,0
364,56,77,79,0,0
365,136,150,152,0,0
366,127,147,104,0,0
367,118,141,115,0,0
368,60,64,41,0,0
369,210,227,198,0,0
370,61,61,63,0,0
371,70,63,51,0,0
372,44,43,51,0,0
373,164,125,115,0,0
374,221,228,233,0,0
375,55,41,64,0,0
376,54,47,46,0,0
377,144,116,119,0,0
378,129,119,113,0,0
379,126,159,177,0,0
380,42,79,78,0,0
381,41,72,70,0,0
382,79,75,71,0,0
383,135,144,142,0,0
384,193,233,205,0,0
385,71,68,70,0,0
386,202,245,204,0,0
387,56,42,62,0,0
388,139,120,103,0,0
389,154,149,121,0,0
390,74,64,79,0,0
391,180,225,252,0,0
392,66,64,59,0,0
393,158,167,129,0,0
394,190,251,240,0,0
395,144,141,147,0,0
396,40,66,47,0,0
397,58,48,74,0,0
398,146,159,132,0,0
399,68,79,51,0,0
400,192,224,214,0,0
401,131,164,150,0,0
402,66,56,67,0,0
403,46,65,70,0,0
404,56,77,58,0,0
405,42,46,77,0,0
406,214,199,219,0,0
407,125,151,146,0,0
408,72,65,57,0,0
409,43,65,70,0,0
410,152,127,115,0,0
411,79,48,71,0,0
412,130,121,148,0,0
413,250,202,188,0,0
414,67,72,51,0,0
415,41,47,77,0,0
416,63,44,44,0,0
417,41,60,70,0,0
418,73,71,58,0,0
419,42,41,45,0,0
420,76,59,40,0,0
421,57,56,62,0,0
422,180,199,204,0,0
423,115,109,173,0,0
424,173,112,179,0,0
425,162,155,149,0,0
426,134,121,175,0,0
427,175,157,150,0,0
428,107,174,160,0,0
429,55,74,73,0,0
430,67,46,69,0,0
431,163,170,103,0,0
432,111,148,101,0,0
433,131,133,172,0,0
434,195,196,240,0,0
435,215,247,181,0,0
436,155,149,152,0,0
437,141,152,175,0,0
438,159,114,123,0,0
439,67,44,48,0,0
440,71,63,45,0,0
441,212,197,224,0,0
442,238,198,218,0,0
443,62,67,75,0,0
444,131,143,128,0,0
445,45,63,67,0,0
446,249,237,253,0,0
447,50,76,69,0,0
448,201,230,216,0,0
449,64,53,75,0,0
450,65,63,51,0,0
451,211,253,253,0,0
452,75,62,67,0,0
453,145,176,147,0,0
454,67,59,66,0,0
455,54,46,55,0,0
456,69,71,60,0,0
457,208,226,208,0,0
458,41,61,70,0,0
459,72,75,46,0,0
460,65,66,69,0,0
461,103,102,126,0,0
462,53,45,78,0,0
463,69,59,47,0,0
464,72,63,49,0,0
465,148,123,123,0,0
466,173,121,147,0,0
467,43,63,61,0,0
468,78,49,58,0,0
469,53,60,52,0,0
470,60,54,45,0,0
471,75,59,77,0,0
472,238,182,218,0,0
473,78,70,66,0,0
474,59,40,65,0,0
475,133,129,161,0,0
476,171,116,115,0,0
