FPS,DURATION,FRAMEFORMAT,,,,,
30,5, Frame No.,R,G,B,WW,CW
1,100,100,0,0,0,,
2,100,100,0,0,0,,
3,100,100,0,0,0,,
4,100,100,0,0,0,,
5,100,100,0,0,0,,
6,100,100,0,0,0,,
7,100,100,0,0,0,,
8,100,100,0,0,0,,
9,50,0,100,0,0,,
10,50,0,100,0,0,,
11,50,0,100,0,0,,
12,50,0,100,0,0,,
13,50,0,100,0,0,,
14,50,0,100,0,0,,
15,50,0,100,0,0,,
16,50,0,100,0,0,,
17,50,0,100,0,0,,
18,50,0,100,0,0,,
19,50,0,100,0,0,,
20,50,0,100,0,0,,
21,50,0,100,0,0,,
22,50,0,100,0,0,,
23,50,0,100,0,0,,
24,0,75,100,0,0,,
25,0,75,100,0,0,,
26,0,75,100,0,0,,
27,0,75,100,0,0,,
28,0,75,100,0,0,,
29,0,75,100,0,0,,
30,0,75,100,0,0,,
31,0,75,100,0,0,,
32,0,75,100,0,0,,
33,0,75,100,0,0,,
34,0,75,100,0,0,,
35,0,75,100,0,0,,
36,0,75,100,0,0,,
37,0,75,100,0,0,,
38,0,75,100,0,0,,
39,0,75,100,0,0,,
40,0,75,100,0,0,,
41,0,75,100,0,0,,
42,0,75,100,0,0,,
43,0,75,100,0,0,,
44,0,75,100,0,0,,
45,100,0,0,0,0,,
46,100,0,0,0,0,,
47,100,0,0,0,0,,
48,100,0,0,0,0,,
49,100,0,0,0,0,,
50,100,0,0,0,0,,
51,100,0,0,0,0,,
52,100,0,0,0,0,,
53,100,0,0,0,0,,
54,100,0,0,0,0,,
55,100,0,0,0,0,,
56,100,0,0,0,0,,
57,100,0,0,0,0,,
58,100,0,0,0,0,,
59,100,0,0,0,0,,
60,100,0,0,0,0,,
61,100,0,0,0,0,,
62,100,0,0,0,0,,
63,100,0,0,0,0,,
64,100,0,0,0,0,,
65,100,0,0,0,0,,
66,100,0,0,0,0,,
67,100,0,0,0,0,,
68,100,0,0,0,0,,
69,100,0,0,0,0,,
70,100,0,0,0,0,,
71,100,0,0,0,0,,
72,100,0,0,0,0,,
73,100,0,0,0,0,,
74,100,0,0,0,0,,
75,100,0,0,0,0,,
76,100,0,0,0,0,,
77,100,0,0,0,0,,
78,100,0,0,0,0,,
79,100,0,0,0,0,,
80,100,0,0,0,0,,
81,0,100,0,0,0,,
82,0,100,0,0,0,,
83,0,100,0,0,0,,
84,0,100,0,0,0,,
85,0,100,0,0,0,,
86,0,100,0,0,0,,
87,0,100,0,0,0,,
88,0,100,0,0,0,,
89,0,100,0,0,0,,
90,100,50,0,0,0,,
91,100,50,0,0,0,,
92,100,50,0,0,0,,
93,100,50,0,0,0,,
94,100,50,0,0,0,,
95,100,50,0,0,0,,
96,100,50,0,0,0,,
97,100,50,0,0,0,,
98,100,50,0,0,0,,
99,100,50,0,0,0,,
100,0,75,100,0,0,,
101,0,75,100,0,0,,
102,0,75,100,0,0,,
103,0,75,100,0,0,,
104,0,75,100,0,0,,
105,0,75,100,0,0,,
106,0,75,100,0,0,,
107,0,75,100,0,0,,
108,0,75,100,0,0,,
109,0,75,100,0,0,,
110,0,75,100,0,0,,
111,0,75,100,0,0,,
112,0,75,100,0,0,,
113,0,75,100,0,0,,
114,0,75,100,0,0,,
115,0,75,100,0,0,,
116,0,75,100,0,0,,
117,0,75,100,0,0,,
118,0,75,100,0,0,,
119,0,75,100,0,0,,
120,0,75,100,0,0,,
121,0,75,100,0,0,,
122,0,75,100,0,0,,
123,0,75,100,0,0,,
124,0,75,100,0,0,,
125,0,75,100,0,0,,
126,100,0,0,0,0,,
127,100,0,0,0,0,,
128,100,0,0,0,0,,
129,100,0,0,0,0,,
130,100,0,0,0,0,,
131,100,0,0,0,0,,
132,100,0,0,0,0,,
133,100,0,0,0,0,,
134,100,0,0,0,0,,
135,100,0,0,0,0,,
136,100,0,0,0,0,,
137,100,0,0,0,0,,
138,100,0,0,0,0,,
139,100,0,0,0,0,,
140,100,0,0,0,0,,
141,100,0,0,0,0,,
142,100,0,0,0,0,,
143,100,0,0,0,0,,
144,100,0,0,0,0,,
145,100,0,0,0,0,,
146,100,0,0,0,0,,
147,100,0,0,0,0,,
148,100,0,0,0,0,,
149,100,0,0,0,0,,
150,100,0,0,0,0,,
