Frame,R,G,B,WW,CW
1,255,128,0,0,0
2,255,128,0,0,0
3,255,128,0,0,0
4,255,128,0,0,0
5,255,128,0,0,0
6,255,128,0,0,0
7,255,128,0,0,0
8,255,128,0,0,0
9,255,128,0,0,0
10,255,128,0,0,0
11,255,128,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,255,128,0,0,0
31,255,128,0,0,0
32,255,128,0,0,0
33,255,128,0,0,0
34,255,128,0,0,0
35,255,128,0,0,0
36,255,128,0,0,0
37,255,128,0,0,0
38,255,128,0,0,0
39,255,128,0,0,0
40,255,128,0,0,0
41,255,128,0,0,0
42,255,128,0,0,0
43,255,128,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,255,128,0,0,0
55,255,128,0,0,0
56,255,128,0,0,0
57,255,128,0,0,0
58,255,128,0,0,0
59,255,128,0,0,0
60,255,128,0,0,0
61,255,128,0,0,0
62,255,128,0,0,0
63,255,128,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,255,128,0,0,0
83,255,128,0,0,0
84,255,128,0,0,0
85,255,128,0,0,0
86,255,128,0,0,0
87,255,128,0,0,0
88,255,128,0,0,0
89,255,128,0,0,0
90,255,128,0,0,0
91,255,128,0,0,0
92,255,128,0,0,0
93,255,128,0,0,0
94,255,128,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
