Frame,R,G,B,WW,CW
1,80,30,0,50,0
2,81,30,0,50,0
3,82,31,0,51,0
4,83,32,0,52,0
5,85,33,0,53,0
6,86,33,0,54,0
7,87,34,0,55,0
8,88,35,0,56,0
9,90,36,0,57,0
10,91,36,0,57,0
11,92,37,0,58,0
12,93,38,0,59,0
13,95,39,0,60,0
14,96,39,0,61,0
15,97,40,0,62,0
16,98,41,0,63,0
17,99,41,0,63,0
18,101,42,0,64,0
19,102,43,0,65,0
20,103,44,0,66,0
21,104,44,0,67,0
22,106,45,0,68,0
23,107,46,0,69,0
24,108,47,0,69,0
25,109,47,0,70,0
26,110,48,0,71,0
27,112,49,0,72,0
28,113,49,0,73,0
29,114,50,0,74,0
30,115,51,0,74,0
31,116,52,0,75,0
32,117,52,0,76,0
33,119,53,0,77,0
34,120,54,0,78,0
35,121,54,0,79,0
36,122,55,0,79,0
37,123,56,0,80,0
38,124,56,0,81,0
39,125,57,0,82,0
40,127,58,0,82,0
41,128,58,0,83,0
42,129,59,0,84,0
43,130,60,0,85,0
44,131,60,0,86,0
45,132,61,0,86,0
46,133,62,0,87,0
47,134,62,0,88,0
48,135,63,0,88,0
49,136,64,0,89,0
50,137,64,0,90,0
51,138,65,0,91,0
52,139,65,0,91,0
53,140,66,0,92,0
54,141,67,0,93,0
55,142,67,0,93,0
56,143,68,0,94,0
57,144,68,0,95,0
58,145,69,0,95,0
59,146,69,0,96,0
60,147,70,0,97,0
61,148,71,0,97,0
62,149,71,0,98,0
63,150,72,0,99,0
64,151,72,0,99,0
65,152,73,0,100,0
66,152,73,0,101,0
67,153,74,0,101,0
68,154,74,0,102,0
69,155,75,0,102,0
70,156,75,0,103,0
71,157,76,0,103,0
72,157,76,0,104,0
73,158,77,0,105,0
74,159,77,0,105,0
75,160,78,0,106,0
76,160,78,0,106,0
77,161,78,0,107,0
78,162,79,0,107,0
79,163,79,0,108,0
80,163,80,0,108,0
81,164,80,0,109,0
82,165,81,0,109,0
83,165,81,0,110,0
84,166,81,0,110,0
85,167,82,0,110,0
86,167,82,0,111,0
87,168,82,0,111,0
88,168,83,0,112,0
89,169,83,0,112,0
90,169,83,0,112,0
91,170,84,0,113,0
92,171,84,0,113,0
93,171,84,0,114,0
94,172,85,0,114,0
95,172,85,0,114,0
96,172,85,0,115,0
97,173,86,0,115,0
98,173,86,0,115,0
99,174,86,0,116,0
100,174,86,0,116,0
101,175,87,0,116,0
102,175,87,0,116,0
103,175,87,0,117,0
104,176,87,0,117,0
105,176,87,0,117,0
106,176,88,0,117,0
107,177,88,0,118,0
108,177,88,0,118,0
109,177,88,0,118,0
110,177,88,0,118,0
111,178,88,0,118,0
112,178,89,0,118,0
113,178,89,0,119,0
114,178,89,0,119,0
115,179,89,0,119,0
116,179,89,0,119,0
117,179,89,0,119,0
118,179,89,0,119,0
119,179,89,0,119,0
120,179,89,0,119,0
121,179,89,0,119,0
122,179,89,0,119,0
123,179,89,0,119,0
124,179,89,0,119,0
125,179,89,0,119,0
126,180,90,0,120,0
127,179,89,0,119,0
128,179,89,0,119,0
129,179,89,0,119,0
130,179,89,0,119,0
131,179,89,0,119,0
132,179,89,0,119,0
133,179,89,0,119,0
134,179,89,0,119,0
135,179,89,0,119,0
136,179,89,0,119,0
137,179,89,0,119,0
138,178,89,0,119,0
139,178,89,0,119,0
140,178,89,0,118,0
141,178,88,0,118,0
142,177,88,0,118,0
143,177,88,0,118,0
144,177,88,0,118,0
145,177,88,0,118,0
146,176,88,0,117,0
147,176,87,0,117,0
148,176,87,0,117,0
149,175,87,0,117,0
150,175,87,0,116,0
151,175,87,0,116,0
152,174,86,0,116,0
153,174,86,0,116,0
154,173,86,0,115,0
155,173,86,0,115,0
156,172,85,0,115,0
157,172,85,0,114,0
158,172,85,0,114,0
159,171,84,0,114,0
160,171,84,0,113,0
161,170,84,0,113,0
162,169,83,0,112,0
163,169,83,0,112,0
164,168,83,0,112,0
165,168,82,0,111,0
166,167,82,0,111,0
167,167,82,0,110,0
168,166,81,0,110,0
169,165,81,0,110,0
170,165,81,0,109,0
171,164,80,0,109,0
172,163,80,0,108,0
173,163,79,0,108,0
174,162,79,0,107,0
175,161,78,0,107,0
176,160,78,0,106,0
177,160,78,0,106,0
178,159,77,0,105,0
179,158,77,0,105,0
180,157,76,0,104,0
181,157,76,0,103,0
182,156,75,0,103,0
183,155,75,0,102,0
184,154,74,0,102,0
185,153,74,0,101,0
186,152,73,0,101,0
187,152,73,0,100,0
188,151,72,0,99,0
189,150,72,0,99,0
190,149,71,0,98,0
191,148,71,0,97,0
192,147,70,0,97,0
193,146,69,0,96,0
194,145,69,0,95,0
195,144,68,0,95,0
196,143,68,0,94,0
197,142,67,0,93,0
198,141,67,0,93,0
199,140,66,0,92,0
200,139,65,0,91,0
201,138,65,0,91,0
202,137,64,0,90,0
203,136,64,0,89,0
204,135,63,0,88,0
205,134,62,0,88,0
206,133,62,0,87,0
207,132,61,0,86,0
208,131,60,0,86,0
209,130,60,0,85,0
210,129,59,0,84,0
211,128,58,0,83,0
212,127,58,0,82,0
213,125,57,0,82,0
214,124,56,0,81,0
215,123,56,0,80,0
216,122,55,0,79,0
217,121,54,0,79,0
218,120,54,0,78,0
219,119,53,0,77,0
220,117,52,0,76,0
221,116,52,0,75,0
222,115,51,0,74,0
223,114,50,0,74,0
224,113,49,0,73,0
225,112,49,0,72,0
226,110,48,0,71,0
