FPS,DURATION,FRAMEFORMAT,,,,,
30,5, Frame No.,R,G,B,WW,CW
1,0,0,0,59,48,,
2,0,0,0,59,48,,
3,0,0,0,59,48,,
4,0,0,0,59,48,,
5,0,0,0,59,48,,
6,0,0,0,59,48,,
7,0,0,0,59,48,,
8,0,0,0,59,48,,
9,0,0,0,59,48,,
10,0,0,0,59,48,,
11,0,0,0,59,48,,
12,0,0,0,59,48,,
13,0,0,0,60,50,,
14,0,0,0,60,50,,
15,0,0,0,60,50,,
16,0,0,0,60,50,,
17,0,0,0,60,50,,
18,0,0,0,60,50,,
19,0,0,0,60,50,,
20,0,0,0,60,50,,
21,0,0,0,60,50,,
22,0,0,0,60,50,,
23,0,0,0,60,50,,
24,0,0,0,60,50,,
25,0,0,0,56,48,,
26,0,0,0,56,48,,
27,0,0,0,56,48,,
28,0,0,0,56,48,,
29,0,0,0,56,48,,
30,0,0,0,56,48,,
31,0,0,0,56,48,,
32,0,0,0,56,48,,
33,0,0,0,56,48,,
34,0,0,0,56,48,,
35,0,0,0,56,48,,
36,0,0,0,56,48,,
37,0,0,0,51,46,,
38,0,0,0,51,46,,
39,0,0,0,51,46,,
40,0,0,0,51,46,,
41,0,0,0,51,46,,
42,0,0,0,51,46,,
43,0,0,0,51,46,,
44,0,0,0,51,46,,
45,0,0,0,51,46,,
46,0,0,0,51,46,,
47,0,0,0,51,46,,
48,0,0,0,51,46,,
49,0,0,0,53,44,,
50,0,0,0,53,44,,
51,0,0,0,53,44,,
52,0,0,0,53,44,,
53,0,0,0,53,44,,
54,0,0,0,53,44,,
55,0,0,0,53,44,,
56,0,0,0,53,44,,
57,0,0,0,53,44,,
58,0,0,0,53,44,,
59,0,0,0,53,44,,
60,0,0,0,53,44,,
61,0,0,0,57,44,,
62,0,0,0,57,44,,
63,0,0,0,57,44,,
64,0,0,0,57,44,,
65,0,0,0,57,44,,
66,0,0,0,57,44,,
67,0,0,0,57,44,,
68,0,0,0,57,44,,
69,0,0,0,57,44,,
70,0,0,0,57,44,,
71,0,0,0,57,44,,
72,0,0,0,57,44,,
73,0,0,0,53,40,,
74,0,0,0,53,40,,
75,0,0,0,53,40,,
76,0,0,0,53,40,,
77,0,0,0,53,40,,
78,0,0,0,53,40,,
79,0,0,0,53,40,,
80,0,0,0,53,40,,
81,0,0,0,53,40,,
82,0,0,0,53,40,,
83,0,0,0,53,40,,
84,0,0,0,53,40,,
85,0,0,0,51,40,,
86,0,0,0,51,40,,
87,0,0,0,51,40,,
88,0,0,0,51,40,,
89,0,0,0,51,40,,
90,0,0,0,51,40,,
91,0,0,0,51,40,,
92,0,0,0,51,40,,
93,0,0,0,51,40,,
94,0,0,0,51,40,,
95,0,0,0,51,40,,
96,0,0,0,51,40,,
97,0,0,0,48,35,,
98,0,0,0,48,35,,
99,0,0,0,48,35,,
100,0,0,0,48,35,,
101,0,0,0,48,35,,
102,0,0,0,48,35,,
103,0,0,0,48,35,,
104,0,0,0,48,35,,
105,0,0,0,48,35,,
106,0,0,0,48,35,,
107,0,0,0,48,35,,
108,0,0,0,48,35,,
109,0,0,0,51,32,,
110,0,0,0,51,32,,
111,0,0,0,51,32,,
112,0,0,0,51,32,,
113,0,0,0,51,32,,
114,0,0,0,51,32,,
115,0,0,0,51,32,,
116,0,0,0,51,32,,
117,0,0,0,51,32,,
118,0,0,0,51,32,,
119,0,0,0,51,32,,
120,0,0,0,51,32,,
121,0,0,0,47,34,,
122,0,0,0,47,34,,
123,0,0,0,47,34,,
124,0,0,0,47,34,,
125,0,0,0,47,34,,
126,0,0,0,47,34,,
127,0,0,0,47,34,,
128,0,0,0,47,34,,
129,0,0,0,47,34,,
130,0,0,0,47,34,,
131,0,0,0,47,34,,
132,0,0,0,47,34,,
133,0,0,0,49,35,,
134,0,0,0,49,35,,
135,0,0,0,49,35,,
136,0,0,0,49,35,,
137,0,0,0,49,35,,
138,0,0,0,49,35,,
139,0,0,0,49,35,,
140,0,0,0,49,35,,
141,0,0,0,49,35,,
142,0,0,0,49,35,,
143,0,0,0,49,35,,
144,0,0,0,49,35,,
145,0,0,0,47,38,,
146,0,0,0,47,38,,
147,0,0,0,47,38,,
148,0,0,0,47,38,,
149,0,0,0,47,38,,
150,0,0,0,47,38,,
