Frame,R,G,B,WW,CW
1,12,0,120,0,79
2,12,0,120,0,79
3,12,0,120,0,79
4,12,0,120,0,79
5,12,0,120,0,79
6,12,0,120,0,79
7,12,0,120,0,79
8,12,0,120,0,79
9,12,0,120,0,79
10,12,0,120,0,79
11,12,0,120,0,79
12,12,0,120,0,79
13,12,0,120,0,79
14,12,0,120,0,79
15,12,0,120,0,79
16,12,0,120,0,79
17,12,0,120,0,79
18,12,0,120,0,79
19,12,0,120,0,79
20,12,0,120,0,79
21,12,0,120,0,79
22,12,0,120,0,79
23,12,0,120,0,79
24,12,0,120,0,79
25,12,0,120,0,79
26,12,0,120,0,79
27,12,0,120,0,79
28,12,0,120,0,79
29,12,0,120,0,79
30,12,0,120,0,79
31,12,0,120,0,79
32,12,0,120,0,79
33,12,0,120,0,79
34,12,0,120,0,79
35,34,0,102,0,94
36,34,0,102,0,94
37,34,0,102,0,94
38,34,0,102,0,94
39,34,0,102,0,94
40,34,0,102,0,94
41,34,0,102,0,94
42,34,0,102,0,94
43,34,0,102,0,94
44,34,0,102,0,94
45,34,0,102,0,94
46,34,0,102,0,94
47,34,0,102,0,94
48,34,0,102,0,94
49,34,0,102,0,94
50,42,0,210,0,164
51,42,0,210,0,164
52,42,0,210,0,164
53,42,0,210,0,164
54,42,0,210,0,164
55,42,0,210,0,164
56,42,0,210,0,164
57,42,0,210,0,164
58,42,0,210,0,164
59,42,0,210,0,164
60,59,0,231,0,129
61,59,0,231,0,129
62,59,0,231,0,129
63,59,0,231,0,129
64,59,0,231,0,129
65,59,0,231,0,129
66,59,0,231,0,129
67,59,0,231,0,129
68,59,0,231,0,129
69,59,0,231,0,129
70,59,0,231,0,129
71,59,0,231,0,129
72,59,0,231,0,129
73,59,0,231,0,129
74,59,0,231,0,129
75,59,0,231,0,129
76,59,0,231,0,129
77,59,0,231,0,129
78,59,0,231,0,129
79,59,0,231,0,129
80,41,0,252,0,137
81,41,0,252,0,137
82,41,0,252,0,137
83,41,0,252,0,137
84,41,0,252,0,137
85,41,0,252,0,137
86,41,0,252,0,137
87,41,0,252,0,137
88,41,0,252,0,137
89,41,0,252,0,137
90,41,0,252,0,137
91,41,0,252,0,137
92,41,0,252,0,137
93,41,0,252,0,137
94,41,0,252,0,137
95,41,0,252,0,137
96,35,0,135,0,97
97,35,0,135,0,97
98,35,0,135,0,97
99,35,0,135,0,97
100,35,0,135,0,97
101,35,0,135,0,97
102,35,0,135,0,97
103,24,0,214,0,148
104,24,0,214,0,148
105,24,0,214,0,148
106,24,0,214,0,148
107,24,0,214,0,148
108,24,0,214,0,148
109,24,0,214,0,148
110,24,0,214,0,148
111,24,0,214,0,148
112,24,0,214,0,148
113,40,0,177,0,139
114,40,0,177,0,139
115,40,0,177,0,139
116,40,0,177,0,139
117,40,0,177,0,139
118,40,0,177,0,139
119,40,0,177,0,139
120,40,0,177,0,139
121,40,0,177,0,139
122,40,0,177,0,139
123,40,0,177,0,139
124,40,0,177,0,139
125,40,0,177,0,139
126,40,0,177,0,139
127,40,0,177,0,139
128,40,0,177,0,139
129,40,0,177,0,139
130,40,0,177,0,139
131,40,0,177,0,139
132,40,0,177,0,139
133,40,0,177,0,139
134,40,0,177,0,139
135,47,0,215,0,129
136,47,0,215,0,129
137,47,0,215,0,129
138,47,0,215,0,129
139,47,0,215,0,129
140,47,0,215,0,129
141,47,0,215,0,129
142,47,0,215,0,129
143,47,0,215,0,129
144,47,0,215,0,129
145,16,0,30,0,55
146,16,0,30,0,55
147,16,0,30,0,55
148,16,0,30,0,55
149,16,0,30,0,55
150,16,0,30,0,55
151,16,0,30,0,55
