Frame,R,G,B,WW,CW
1,51,0,188,0,146
2,51,0,188,0,146
3,51,0,188,0,146
4,51,0,188,0,146
5,51,0,188,0,146
6,51,0,188,0,146
7,51,0,188,0,146
8,51,0,188,0,146
9,51,0,188,0,146
10,51,0,188,0,146
11,51,0,188,0,146
12,51,0,188,0,146
13,51,0,188,0,146
14,51,0,188,0,146
15,51,0,188,0,146
16,51,0,188,0,146
17,51,0,188,0,146
18,51,0,188,0,146
19,51,0,188,0,146
20,51,0,188,0,146
21,51,0,188,0,146
22,51,0,188,0,146
23,51,0,188,0,146
24,51,0,188,0,146
25,51,0,188,0,146
26,51,0,188,0,146
27,51,0,188,0,146
28,51,0,188,0,146
29,51,0,188,0,146
30,51,0,188,0,146
31,51,0,188,0,146
32,51,0,188,0,146
33,51,0,188,0,146
34,51,0,188,0,146
35,51,0,188,0,146
36,51,0,188,0,146
37,51,0,188,0,146
38,51,0,188,0,146
39,51,0,188,0,146
40,51,0,188,0,146
41,51,0,188,0,146
42,51,0,188,0,146
43,51,0,188,0,146
44,51,0,188,0,146
45,51,0,188,0,146
46,51,0,188,0,146
47,51,0,188,0,146
48,51,0,188,0,146
49,51,0,188,0,146
50,51,0,188,0,146
51,51,0,188,0,146
52,51,0,188,0,146
53,51,0,188,0,146
54,51,0,188,0,146
55,51,0,188,0,146
56,51,0,188,0,146
57,51,0,188,0,146
58,51,0,188,0,146
59,51,0,188,0,146
60,51,0,188,0,146
61,32,0,87,0,94
62,32,0,87,0,94
63,32,0,87,0,94
64,32,0,87,0,94
65,32,0,87,0,94
66,32,0,87,0,94
67,32,0,87,0,94
68,32,0,87,0,94
69,32,0,87,0,94
70,32,0,87,0,94
71,32,0,87,0,94
72,32,0,87,0,94
73,32,0,87,0,94
74,32,0,87,0,94
75,32,0,87,0,94
76,32,0,87,0,94
77,32,0,87,0,94
78,32,0,87,0,94
79,32,0,87,0,94
80,32,0,87,0,94
81,32,0,87,0,94
82,32,0,87,0,94
83,32,0,87,0,94
84,32,0,87,0,94
85,32,0,87,0,94
86,32,0,87,0,94
87,32,0,87,0,94
88,32,0,87,0,94
89,32,0,87,0,94
90,32,0,87,0,94
91,32,0,87,0,94
92,32,0,87,0,94
93,32,0,87,0,94
94,32,0,87,0,94
95,31,0,106,0,86
96,31,0,106,0,86
97,31,0,106,0,86
98,31,0,106,0,86
99,31,0,106,0,86
100,31,0,106,0,86
101,31,0,106,0,86
102,31,0,106,0,86
103,31,0,106,0,86
104,31,0,106,0,86
105,31,0,106,0,86
106,31,0,106,0,86
107,31,0,106,0,86
108,31,0,106,0,86
109,31,0,106,0,86
110,31,0,106,0,86
111,31,0,106,0,86
112,31,0,106,0,86
113,31,0,106,0,86
114,31,0,106,0,86
115,31,0,106,0,86
116,31,0,106,0,86
117,31,0,106,0,86
118,31,0,106,0,86
119,31,0,106,0,86
120,31,0,106,0,86
121,31,0,106,0,86
122,31,0,106,0,86
123,31,0,106,0,86
124,31,0,106,0,86
125,31,0,106,0,86
126,31,0,106,0,86
127,31,0,106,0,86
128,31,0,106,0,86
129,31,0,106,0,86
130,31,0,106,0,86
131,31,0,106,0,86
132,31,0,106,0,86
133,31,0,106,0,86
134,31,0,106,0,86
135,31,0,106,0,86
136,31,0,106,0,86
137,31,0,106,0,86
138,31,0,106,0,86
139,31,0,106,0,86
140,31,0,106,0,86
141,31,0,106,0,86
142,31,0,106,0,86
143,31,0,106,0,86
144,31,0,106,0,86
145,31,0,106,0,86
146,31,0,106,0,86
147,31,0,106,0,86
148,31,0,106,0,86
149,31,0,106,0,86
150,31,0,106,0,86
151,31,0,106,0,86
152,11,0,68,0,36
153,11,0,68,0,36
154,11,0,68,0,36
155,11,0,68,0,36
156,11,0,68,0,36
157,11,0,68,0,36
158,11,0,68,0,36
159,11,0,68,0,36
160,11,0,68,0,36
161,11,0,68,0,36
162,11,0,68,0,36
163,11,0,68,0,36
164,11,0,68,0,36
165,11,0,68,0,36
166,11,0,68,0,36
167,11,0,68,0,36
168,11,0,68,0,36
169,11,0,68,0,36
170,11,0,68,0,36
171,11,0,68,0,36
172,11,0,68,0,36
173,11,0,68,0,36
174,11,0,68,0,36
